stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
20th week post-fertilization stage,airway_top,18,DNAH12,9.598869323730469,2.2491421293211003e-49,biological,True,1
20th week post-fertilization stage,airway_top,19,CLXN,32.37689208984375,2.443706804086762e-49,biological,True,1
20th week post-fertilization stage,airway_top,20,SPMIP6,8.956748962402344,2.572109023442628e-49,biological,True,2
20th week post-fertilization stage,alveolar_top,1,MYL9,5.159250259399414,8.06063100535809e-18,biological,True,4
20th week post-fertilization stage,alveolar_top,2,AGER,6.150136470794678,1.8312896544504884e-16,biological,True,4
20th week post-fertilization stage,alveolar_top,3,SMARCA5,3.1038365364074707,1.8312896544504884e-16,biological,True,4
20th week post-fertilization stage,alveolar_top,4,TMSB10,2.6585917472839355,3.3542404537545815e-16,housekeeping,False,0
20th week post-fertilization stage,alveolar_top,5,NKX2-1,2.905927896499634,3.3542404537545815e-16,biological,True,1
20th week post-fertilization stage,alveolar_top,6,CLIC3,5.3479132652282715,4.016493165469579e-16,biological,True,4
20th week post-fertilization stage,alveolar_top,7,RPS24,1.658226490020752,9.004548146144947e-16,ribosomal,False,0
20th week post-fertilization stage,alveolar_top,8,RPS18,2.1966464519500732,9.667163397022237e-16,ribosomal,False,0
20th week post-fertilization stage,alveolar_top,9,RPL37,1.9124785661697388,9.667163397022237e-16,ribosomal,False,0
20th week post-fertilization stage,alveolar_top,10,SFTPB,5.882197856903076,1.6193985504115234e-15,biological,True,2
20th week post-fertilization stage,alveolar_top,11,RPL24,1.6261616945266724,1.6193985504115234e-15,ribosomal,False,0
20th week post-fertilization stage,alveolar_top,12,TMSB4X,2.9308736324310303,4.262645284441205e-15,housekeeping,False,0
20th week post-fertilization stage,alveolar_top,13,NPM1,2.020540237426758,4.329127460256048e-15,housekeeping,False,0
20th week post-fertilization stage,alveolar_top,14,HNRNPA1,2.0474159717559814,5.098642919273841e-15,housekeeping,False,0
20th week post-fertilization stage,alveolar_top,15,RPL6,1.9006123542785645,5.301083115617223e-15,ribosomal,False,0
20th week post-fertilization stage,alveolar_top,16,SPARC,4.6390581130981445,8.936475468030372e-15,biological,True,3
20th week post-fertilization stage,alveolar_top,17,NREP,3.8068814277648926,1.0088413367549742e-14,biological,True,1
20th week post-fertilization stage,alveolar_top,18,RPS2,1.8003597259521484,1.1893656716003784e-14,ribosomal,False,0
20th week post-fertilization stage,alveolar_top,19,RPL14,1.797521948814392,1.1893656716003784e-14,ribosomal,False,0
20th week post-fertilization stage,alveolar_top,20,RPL5,1.9654428958892824,1.2500636230268775e-14,ribosomal,False,0
22nd week post-fertilization stage,airway_top,1,AGR3,7.2809834480285645,8.496753408446745e-150,biological,True,4
22nd week post-fertilization stage,airway_top,2,AGR2,3.651315927505493,7.474801826511176e-132,biological,True,4
22nd week post-fertilization stage,airway_top,3,HMGN3,1.936453938484192,1.1878651415983117e-131,biological,True,3
22nd week post-fertilization stage,airway_top,4,CAPS,6.437768459320068,3.0371122025976896e-127,biological,True,4
22nd week post-fertilization stage,airway_top,5,SMIM22,6.385556221008301,4.5053544099700335e-125,biological,True,2
22nd week post-fertilization stage,airway_top,6,S100A11,1.510526180267334,2.3119959741629616e-121,biological,True,3
22nd week post-fertilization stage,airway_top,7,TSPAN1,10.433228492736816,3.1438719384125294e-121,biological,True,2
22nd week post-fertilization stage,airway_top,8,CALM1,2.986395835876465,1.0614508224689238e-120,biological,True,2
22nd week post-fertilization stage,airway_top,9,PLPP2,8.505806922912598,6.957088843706205e-120,biological,True,3
22nd week post-fertilization stage,airway_top,10,SLC44A4,5.239997863769531,1.1580829092834923e-117,biological,True,1
22nd week post-fertilization stage,airway_top,11,SPMIP6,10.224677085876465,1.436129373148966e-115,biological,True,2
22nd week post-fertilization stage,airway_top,12,CFAP144,9.360015869140623,2.1270108560619376e-115,biological,True,2
22nd week post-fertilization stage,airway_top,13,CIMIP1,10.065672874450684,2.353825688584065e-115,biological,True,2
22nd week post-fertilization stage,airway_top,14,CIMAP1B,8.087382316589355,2.3123342199853143e-113,biological,True,2
