stage,direction,rank,gene,log_fold_change,adjusted_p_value,gene_class,interpretable,recurrence_n_stages
15th week post-fertilization stage,airway_top,11,JUN,1.50526762008667,0.00785849002379267,biological,True,5
15th week post-fertilization stage,airway_top,12,H19,1.5106974840164185,0.012254382412225656,biological,True,5
15th week post-fertilization stage,airway_top,13,PCDH7,1.7492775917053223,0.012901702400974149,biological,True,1
15th week post-fertilization stage,airway_top,14,SECISBP2L,1.2971956729888916,0.07703691743600483,biological,True,2
15th week post-fertilization stage,airway_top,15,NTN1,2.5402464866638184,0.09610658071336131,biological,True,5
15th week post-fertilization stage,airway_top,16,CD47,1.4238113164901733,0.13158636893508682,biological,True,1
15th week post-fertilization stage,airway_top,17,ENTREP1,1.6885144710540771,0.1604812894240886,biological,True,1
15th week post-fertilization stage,airway_top,18,PTMA,1.3082951307296753,0.1663263223499478,biological,True,1
15th week post-fertilization stage,airway_top,19,GLCCI1,1.4667009115219116,0.18337731612079178,biological,True,1
15th week post-fertilization stage,airway_top,20,GPC6,1.995051622390747,0.24287760336426506,biological,True,1
15th week post-fertilization stage,alveolar_top,1,SOX9,10.290459632873535,0.0,biological,True,5
15th week post-fertilization stage,alveolar_top,2,DLG2,1.437862515449524,1.494081216123087e-28,biological,True,4
15th week post-fertilization stage,alveolar_top,3,ATP11A,1.1681861877441406,2.230525599014709e-22,biological,True,5
15th week post-fertilization stage,alveolar_top,4,SFTPC,1.318313717842102,1.6600842759617236e-21,biological,True,5
15th week post-fertilization stage,alveolar_top,5,PTPN13,1.07848060131073,2.1165361807660807e-15,biological,True,4
15th week post-fertilization stage,alveolar_top,6,SLC4A4,1.1439732313156128,5.872836294733339e-15,biological,True,4
15th week post-fertilization stage,alveolar_top,7,NPC2,1.187605857849121,1.9799365717866436e-14,biological,True,4
15th week post-fertilization stage,alveolar_top,8,FOXP2,0.880031943321228,7.085791749534547e-14,biological,True,3
15th week post-fertilization stage,alveolar_top,9,SLC34A2,1.2887290716171265,8.049021411287015e-13,biological,True,5
15th week post-fertilization stage,alveolar_top,10,ETV5,0.9897142052650452,4.556701194675695e-12,biological,True,5
15th week post-fertilization stage,alveolar_top,11,NHSL1,0.9501396417617798,6.740353797778385e-12,biological,True,2
15th week post-fertilization stage,alveolar_top,12,RPLP1,0.9367305636405945,7.701073766668833e-12,biological,True,1
15th week post-fertilization stage,alveolar_top,13,CCSER1,0.9719762206077576,1.3921125142228723e-11,biological,True,2
15th week post-fertilization stage,alveolar_top,14,SEL1L3,0.9328891634941101,6.948523064014706e-11,biological,True,5
15th week post-fertilization stage,alveolar_top,15,WIF1,0.9134438037872314,2.1127707709573603e-10,biological,True,3
15th week post-fertilization stage,alveolar_top,16,HS2ST1,0.9284170866012573,6.208169308575544e-10,biological,True,1
15th week post-fertilization stage,alveolar_top,17,TESC,1.4889906644821167,1.137072016587061e-09,biological,True,1
15th week post-fertilization stage,alveolar_top,18,COL11A1,1.1564879417419434,1.137072016587061e-09,biological,True,3
15th week post-fertilization stage,alveolar_top,19,RNF220,0.9050000309944153,1.3985614579467537e-09,biological,True,1
15th week post-fertilization stage,alveolar_top,20,PIK3C2G,1.1047790050506592,1.662278949736357e-09,biological,True,4
16th week post-fertilization stage,airway_top,1,SOX2,9.66801643371582,1.2434915360079526e-82,biological,True,5
16th week post-fertilization stage,airway_top,2,SCGB3A2,3.572195053100586,8.328407586377683e-13,biological,True,5
16th week post-fertilization stage,airway_top,3,H19,2.114147186279297,3.323091088355289e-07,biological,True,5
16th week post-fertilization stage,airway_top,4,JUN,1.9879608154296875,2.4190555483754593e-05,biological,True,5
16th week post-fertilization stage,airway_top,5,CLIC6,2.211094379425049,0.006564158854244057,biological,True,4
16th week post-fertilization stage,airway_top,6,IGF2,2.4351320266723633,0.0213120507673566,biological,True,1
16th week post-fertilization stage,airway_top,7,GPC5,1.3781598806381226,0.0213120507673566,biological,True,4
