cell_id,development_stage,cell_type,donor_id,assay,distal_tip_score,airway_score,alveolar_score,commitment_score,substrate,in_exiting_tip
13997,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.2693757426982023,-0.23052754720052082,0.6691372241448919,-0.8996647713454127,cao2020,True
13998,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.1472100627665617,-0.09617724100748698,0.8237676062715162,-0.9199448472790033,cao2020,True
14000,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.17580542272450972,-0.07531407674153646,-0.24739592665926033,0.17208184991772385,cao2020,True
14002,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.3318396198506258,1.1271980349222819,1.6638445591707842,-0.5366465242485023,cao2020,True
14004,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.16685711607641104,-0.1545569610595703,1.6486200334828929,-1.8031769945424632,cao2020,True
14007,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.1545525667618732,-0.029788554509480793,2.3122962505445566,-2.3420848050540375,cao2020,True
14008,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.43437167576381136,-0.05890773773193359,2.0319998854890877,-2.0909076232210215,cao2020,True
14010,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,1.0111874804204826,-0.09198535283406575,2.220020661660291,-2.3120060144943566,cao2020,False
14012,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,1.4926722657923794,-0.1622706349690755,0.43898372912625655,-0.6012543640953321,cao2020,False
14013,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.4293721257423868,0.7181973139444987,0.994015890523928,-0.2758185765794293,cao2020,True
14019,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.3239304678780692,0.43833463191986083,0.5689105353224169,-0.13057590340255604,cao2020,True
14020,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.17005363775759327,-0.05100298245747884,2.3318078802266253,-2.3828108626841042,cao2020,True
14021,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.5210445949009487,-0.15849175771077473,-0.29328290256885214,0.13479114485807742,cao2020,True
14022,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.1070532373019627,-0.2282575225830078,1.8962838387270586,-2.1245413613100665,cao2020,False
14024,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.35030326794604866,-0.30616668701171873,1.3162481631707708,-1.6224148501824895,cao2020,False
14025,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.42254229954310824,2.347366673151652,0.6984098176343725,1.6489568555172793,cao2020,True
14027,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.5735015844812199,-0.24735387166341147,1.9229401360957994,-2.1702940077592108,cao2020,False
14028,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.22688565935407365,-0.02470532735188802,-0.24412097405949865,0.21941564670761063,cao2020,True
14029,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.09831208598857022,-0.38112943013509115,1.607305084893463,-1.988434515028554,cao2020,False
14032,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.18593480635662468,-0.10123116811116536,0.6799742366195819,-0.7812054047307473,cao2020,True
14033,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.1500066372813011,0.9594452381134033,2.0908561934024914,-1.131410955289088,cao2020,False
14035,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.11916357157181723,0.005958193937937395,1.8424302831702275,-1.83647208923229,cao2020,False
14036,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.31606120357708056,-0.08918258666992188,1.8153101763594042,-1.904492763029326,cao2020,False
14038,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.46155209444007095,-0.1562885284423828,1.612334973221525,-1.7686235016639078,cao2020,False
14040,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.32531006482182717,-0.11039971669514974,0.8652306095175787,-0.9756303262127284,cao2020,True
14041,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.2603936219701961,0.5105479939778645,1.014535470840034,-0.5039874768621695,cao2020,False
14045,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.17732351896714194,-0.12398124694824218,2.7924427154960982,-2.91642396244434,cao2020,False
14050,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.8999245166778564,-0.04799597422281901,0.6893101810315333,-0.7373061552543523,cao2020,False
14051,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.5824532496685885,-0.09386269251505534,2.827555162097336,-2.921417854612391,cao2020,False
14059,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.4901690385779556,-0.11538276672363282,0.6218660708961137,-0.7372488376197465,cao2020,False
14062,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.5618979006397481,-0.22943453470865885,1.9731736511265465,-2.2026081858352056,cao2020,True
14063,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.2427038659854811,2.5529665692647296,1.1153135135633137,1.437653055701416,cao2020,True
14065,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.35886698353047275,-0.16412184397379556,1.7245094404308074,-1.888631284404603,cao2020,True
14066,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.673874137352924,-0.20853716532389324,-0.34509536323197393,0.1365581979080807,cao2020,False
14067,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.24896911698944715,0.0,-0.19977307100908473,0.19977307100908473,cao2020,True
14069,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.4541627922836615,-0.16261581420898438,0.40930189287990604,-0.5719177070888904,cao2020,True
14071,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.3004816016372369,-0.13214435577392578,2.862118064810377,-2.9942624205843025,cao2020,True
14073,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.5875631181561217,-0.15235684712727865,1.2787099431414122,-1.4310667902686909,cao2020,False
14074,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.09180763789585658,-0.08087703704833984,-0.10504103144374463,0.024163994395404786,cao2020,False
14075,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.14821938105991908,1.2603189468383789,1.0249513901701761,0.23536755666820275,cao2020,True
14076,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.37470541194993623,-0.10892539978027344,0.7881036231277185,-0.897029022907992,cao2020,True
14078,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.517425653885822,0.14115849018096926,0.26206425953348844,-0.12090576935251918,cao2020,True
14081,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.9747893226389982,-0.0980518086751302,0.708380795400077,-0.8064326040752072,cao2020,False
14090,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.6390644263248054,-0.09315366744995117,1.3566961660297638,-1.449849833479715,cao2020,False
14093,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.4010512682856346,-0.12241772969563802,1.8200380889647598,-1.942455818660398,cao2020,True
14095,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.25008084822674187,-0.1396370315551758,1.3235207522681,-1.4631577838232759,cao2020,True
14096,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,0.4068006532532828,-0.18922449747721354,1.8609777634296942,-2.0502022609069077,cao2020,False
14098,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.25536760991933394,-0.12513013203938803,1.3923618596628171,-1.5174919917022052,cao2020,True
14100,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,1.390854840375939,-0.07551223119099935,1.715270980782465,-1.7907832119734644,cao2020,False
14102,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.38607204203702966,-0.20122113545735676,2.3078418127987366,-2.5090629482560933,cao2020,True
14105,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.036494544574192544,-0.18488367716471354,2.438146403076452,-2.6230300802411657,cao2020,False
14106,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.44899796466438135,-0.1721014658610026,1.5298884680511755,-1.701989933912178,cao2020,True
14109,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.22252715363794442,-0.08945325851440429,0.6659395711137615,-0.7553928296281658,cao2020,True
14111,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.3155635522336376,-0.1819947052001953,1.7291138051846706,-1.911108510384866,cao2020,True
14120,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,0.3822819395941131,-0.07987211227416992,0.7415152930338449,-0.8213874053080148,cao2020,False
14123,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,-0.4150498059331154,-0.06779146830240886,1.1327219217195423,-1.2005133900219511,cao2020,True
14126,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.30631296975272043,-0.04776729583740234,1.5242738680008354,-1.5720411638382377,cao2020,True
14127,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H27423,sci-RNA-seq3,-0.15862854159608178,-0.07598453521728515,3.0943489249693146,-3.1703334601866,cao2020,True
14129,16th week post-fertilization stage,epithelial cell of lower respiratory tract,H26547,sci-RNA-seq3,-0.16579166723757374,-0.029349215825398765,2.014233101398573,-2.0435823172239718,cao2020,True
14137,17th week post-fertilization stage,epithelial cell of lower respiratory tract,H27464,sci-RNA-seq3,0.3243088004540424,-0.11016141255696614,2.422473975277822,-2.5326353878347883,cao2020,False
